S1_Temp,S2_Temp,S3_Temp,S1_Light,S2_Light,S3_Light,S1_Sound,S2_Sound,S3_Sound,S5_CO2,y_actual
25.31,25.25,24.88,123,31,61,0.48,0.31,0.53,450,1
25.31,25.63,24.81,124,29,62,0.51,0.55,0.17,450,1
25.38,25.44,24.81,150,187,63,0.46,0.46,0.21,450,2
25.38,25.44,24.81,153,216,63,0.76,0.74,0.15,450,2
25.38,25.44,24.88,155,234,63,1.77,1.08,0.2,450,2
25.38,25.44,24.81,156,239,64,0.8,0.29,0.1,445,2
25.38,25.38,24.81,157,241,67,0.73,0.24,0.1,445,2
25.38,25.38,24.88,157,242,68,1.14,0.33,0.23,450,2
25.38,25.44,24.81,157,242,69,0.58,0.56,0.25,450,2
25.38,25.44,24.88,158,243,70,0.71,0.68,0.27,455,2
25.38,25.44,24.81,157,242,67,0.44,0.63,0.25,455,2
25.38,25.31,24.88,157,242,68,0.23,0.32,0.13,450,2
25.38,25.38,24.88,157,241,68,2.79,0.41,0.2,450,2
25.38,25.38,24.88,157,241,68,0.54,0.55,0.21,445,2
25.38,25.44,24.88,157,240,69,2.49,0.67,0.2,450,2
25.44,25.44,24.88,157,240,70,0.47,0.25,0.14,450,2
25.44,25.38,24.88,157,239,70,3.51,0.38,0.22,450,2
25.44,25.38,24.88,156,239,70,0.73,0.81,0.41,460,2
25.44,25.44,24.88,157,239,70,0.63,0.42,0.21,460,2
25.44,25.5,24.88,155,236,70,1.14,0.56,0.32,475,2
25.44,25.56,24.88,155,236,68,1.02,0.51,0.17,480,2
25.44,25.5,24.88,155,237,69,0.63,0.36,0.18,480,2
25.44,25.56,24.94,155,236,69,1.33,0.78,0.18,485,2
25.44,25.56,24.94,155,236,70,0.17,0.35,0.11,490,2
25.44,25.56,24.94,155,237,71,0.43,0.36,0.21,500,2
25.5,25.56,24.88,155,237,71,1.87,0.56,0.23,500,2
25.5,25.56,24.88,155,235,72,0.73,1.15,0.24,500,2
25.44,25.56,24.94,155,236,71,1.53,1.24,0.36,500,2
25.44,25.56,24.94,155,235,71,2.95,1.27,0.25,510,2
25.5,25.56,24.94,155,235,70,1.78,0.63,0.18,510,2
25.5,25.56,24.94,155,234,70,0.08,0.35,0.07,515,2
25.44,25.63,24.94,155,234,70,0.45,2.12,0.34,515,2
25.5,25.63,24.94,155,235,71,2.01,0.32,0.11,515,2
25.5,25.63,24.94,155,235,72,0.33,0.38,0.1,520,2
25.5,25.63,24.94,155,235,71,0.5,0.49,0.14,525,2
25.5,25.63,24.94,155,234,73,1.02,0.29,0.16,530,2
25.5,25.56,24.94,155,234,72,0.49,0.23,0.19,540,2
25.5,25.63,24.94,155,235,73,0.29,0.51,0.19,540,2
25.5,25.63,24.94,155,234,73,0.33,0.19,0.11,545,2
25.56,25.63,24.94,155,234,73,0.15,0.26,0.22,545,2
25.56,25.69,25,155,234,74,0.63,0.15,0.09,545,2
25.56,25.69,25,155,233,73,0.08,0.14,0.06,550,2
25.5,25.69,24.94,155,233,73,0.17,0.14,0.15,550,2
25.56,25.69,25,155,233,73,1.81,0.28,0.06,550,2
25.56,25.69,25,155,233,74,0.63,0.42,0.15,555,2
25.56,25.69,25,155,233,74,0.68,0.82,0.19,555,2
25.56,25.75,25,155,233,74,0.32,0.43,0.16,555,2
25.56,25.75,25,155,233,75,1.16,0.27,0.09,555,2
25.56,25.75,25,155,232,74,0.45,0.17,0.13,560,1
25.56,25.69,25,155,233,74,0.31,0.5,0.27,560,1
25.56,25.75,25,155,233,74,0.5,0.1,0.11,560,2
25.56,25.69,25,155,232,75,1.33,1.54,0.42,560,2
25.56,25.75,25,155,232,75,0.54,0.78,0.29,565,2
25.56,25.75,25,155,232,75,0.41,1.05,0.29,570,2
25.56,25.69,25,151,232,75,2.12,1.03,0.16,570,2
25.56,25.94,25,155,239,75,0.44,3.44,0.67,570,2
25.56,26.38,25,156,243,75,0.92,1.27,0.65,580,2
25.56,26.81,25,155,242,75,0.37,1.96,0.98,580,2
25.56,26.81,25.06,155,242,75,0.55,0.9,0.23,585,2
25.56,27,25,155,238,74,0.44,0.6,0.49,590,2
25.56,26.94,25.06,155,243,73,0.43,1.03,0.22,585,2
25.56,27.19,25.06,156,243,71,0.37,0.1,0.22,590,2
25.56,27.25,25,156,243,74,0.22,0.06,0.06,590,2
25.56,27.44,25.06,156,244,75,0.1,0.05,0.06,600,2
25.56,27.5,25.06,157,244,75,0.09,0.05,0.05,600,2
25.56,27.56,25.06,157,244,75,0.09,0.07,0.08,595,2
25.56,27.75,25.06,156,244,75,0.7,0.1,0.08,605,2
25.56,27.94,25.06,157,244,75,1.93,0.15,0.11,595,2
25.56,27.69,25.06,157,244,77,0.15,0.12,0.06,595,2
25.56,27.5,25.06,157,244,76,0.15,0.6,0.09,590,2
25.56,27.44,25.06,156,244,75,0.26,0.1,0.06,590,2
25.56,27.56,25.06,157,244,76,1.32,0.29,0.08,590,2
25.56,27.38,25.06,157,244,77,0.25,0.3,0.15,590,2
25.63,27.31,25.06,157,244,76,0.48,0.08,0.08,595,2
25.63,27.31,25.06,157,244,76,0.88,0.12,0.08,595,2
25.63,27.38,25.06,157,244,76,0.86,0.06,0.29,595,2
25.63,27.38,25.13,157,244,77,0.07,0.21,0.2,600,2
25.63,27.44,25.06,157,244,76,0.07,0.05,0.05,610,2
25.63,27.38,25.06,157,244,78,0.2,0.05,0.06,605,2
25.63,27.44,25.06,157,245,79,0.74,0.15,0.12,610,2
25.63,27.56,25.06,156,244,79,0.63,0.28,0.2,615,2
25.63,27.5,25.06,156,244,79,0.43,0.42,0.17,615,2
25.69,27.56,25.06,157,244,79,0.79,0.56,0.2,620,2
25.63,27.5,25.06,157,243,80,0.69,0.53,0.2,625,2
25.63,27.56,25.06,156,244,80,1.55,0.77,0.47,630,2
25.63,27.63,25.13,156,244,78,0.54,0.8,0.3,630,2
25.63,27.63,25.13,157,244,79,0.63,0.57,0.18,630,2
25.63,27.81,25.13,157,244,78,0.96,0.64,0.19,630,2
25.63,28,25.13,156,241,77,1.05,1.01,0.31,625,2
25.69,28.19,25.13,156,240,76,0.49,0.79,0.24,625,2
25.69,28.13,25.13,156,244,77,0.73,0.79,0.28,630,2
25.69,28.06,25.13,156,243,77,0.81,0.42,0.28,630,2
25.69,27.88,25.13,156,240,79,0.88,0.66,0.29,625,2
25.69,27.81,25.13,156,241,79,0.71,0.4,0.22,635,2
25.69,27.75,25.13,155,239,79,0.72,0.66,0.24,635,2
25.69,27.94,25.13,155,242,77,0.52,0.7,0.69,635,2
25.63,28,25.13,156,243,78,0.71,0.69,0.25,630,2
25.69,28.19,25.13,156,243,79,0.75,0.55,0.61,635,2
25.69,28.13,25.13,157,244,80,0.21,0.27,0.13,635,2
25.69,28.13,25.13,156,244,80,0.62,0.12,0.24,635,2
25.69,28.19,25.13,155,243,80,0.83,0.17,0.06,635,2
25.69,28.19,25.13,155,242,78,0.19,0.4,0.21,640,2
25.69,28.13,25.13,155,242,77,0.18,0.06,0.07,645,2
25.69,28,25.19,156,244,80,0.5,0.26,0.24,650,2
25.69,28.13,25.13,156,244,81,1.53,0.37,0.18,645,2
25.69,28.13,25.13,157,244,82,0.8,0.37,0.14,650,2
25.69,28.31,25.13,156,243,81,0.62,0.7,0.24,640,2
25.69,28.31,25.19,157,244,81,0.33,0.41,0.2,640,2
25.69,28.38,25.13,157,244,80,2.36,0.63,0.46,645,2
25.69,28.5,25.19,156,244,80,0.25,0.23,0.24,645,2
25.69,28.5,25.19,156,244,80,0.64,0.17,0.12,640,2
25.69,28.5,25.19,156,243,80,0.08,0.05,0.06,645,2
25.69,28.44,25.19,155,242,79,0.08,0.07,0.05,640,2
25.75,28.38,25.19,155,242,78,0.13,0.1,0.06,645,2
25.69,28.25,25.19,156,242,79,0.09,0.11,0.09,645,2
25.69,28.44,25.19,156,244,81,0.5,0.13,0.11,640,2
25.69,28.38,25.19,156,243,80,0.8,0.21,0.16,640,2
25.69,28.38,25.19,155,242,190,0.57,0.15,0.77,645,2
25.69,28.44,25.19,156,244,190,1.12,0.49,0.77,645,3
25.75,28.56,25.19,158,245,205,0.91,0.29,2.83,650,3
25.75,28.56,25.25,159,246,214,0.55,0.23,1.01,645,3
25.75,28.63,25.25,159,246,220,0.58,0.5,3.64,655,3
25.75,28.56,25.31,159,244,224,0.83,0.36,2.15,655,3
25.75,28.44,25.31,159,247,224,2.62,0.82,2.15,660,3
25.75,28.31,25.31,158,244,222,0.7,0.35,0.5,660,3
25.75,28.5,25.31,158,244,217,0.72,0.49,0.93,655,3
25.81,28.69,25.31,159,245,217,2.88,0.57,0.93,660,2
25.75,28.69,25.31,159,245,216,0.62,0.74,0.19,665,2
25.75,28.63,25.31,160,244,216,0.36,0.4,0.19,665,2
25.81,28.81,25.31,160,244,223,0.79,0.46,3.63,670,3
25.81,28.75,25.31,160,244,225,0.51,0.92,1.32,680,3
25.81,28.88,25.31,160,244,224,0.95,0.84,1.61,675,3
25.81,28.81,25.38,160,244,224,1.01,0.79,0.96,675,3
25.81,28.81,25.38,160,243,215,2.04,0.62,3.64,675,3
25.81,28.94,25.38,160,243,223,0.95,3.44,3.65,675,3
25.81,28.94,25.31,160,243,222,0.96,0.91,0.25,685,3
25.81,28.94,25.38,159,243,222,0.58,0.56,3.65,690,3
25.81,29,25.38,159,243,224,3.47,3.34,1.72,690,3
25.81,28.94,25.38,160,244,223,0.45,0.65,1.86,695,3
25.81,28.94,25.38,160,244,223,0.83,0.54,1.41,695,3
25.81,29,25.38,160,243,221,0.57,0.63,0.58,700,3
25.81,28.94,25.38,159,246,221,1.62,0.53,0.88,695,3
25.81,28.81,25.38,160,247,221,0.71,0.37,0.88,695,3
25.94,28.19,25.5,163,249,229,0.68,0.52,2.41,810,3
25.94,28.13,25.5,164,249,229,0.89,0.83,2.56,810,3
25.94,28.13,25.5,163,249,228,0.63,0.29,1.01,810,3
25.94,28.06,25.5,163,249,229,0.53,0.31,0.25,815,3
25.94,28.13,25.5,163,248,229,2.25,3.4,3.66,815,3
25.94,28.25,25.5,163,247,228,0.41,0.26,0.8,815,3
25.94,28.25,25.5,162,247,228,0.35,0.3,0.89,815,3
25.94,28.38,25.56,162,248,228,1.56,1.35,3.66,820,3
25.94,28.19,25.5,162,247,228,0.79,0.81,1.36,835,3
25.94,28.19,25.56,162,247,227,3.3,2.98,3.66,840,3
25.94,28.25,25.56,162,249,227,1.31,2.02,3.66,840,3
25.94,28.38,25.56,161,249,228,0.52,0.42,1.03,845,3
25.94,28.25,25.56,162,249,228,0.41,0.22,0.71,845,3
25.94,28.19,25.56,163,249,228,1.04,0.35,0.8,845,3
25.94,28.13,25.56,162,246,227,0.33,2.11,1.05,845,3
25.94,28.25,25.63,162,249,226,0.45,2.22,1.13,840,3
25.94,28,25.63,163,250,226,0.39,0.54,1.31,840,3
25.94,28,25.63,163,252,227,0.08,0.28,0.14,845,3
26,27.94,25.63,164,251,228,0.2,0.29,0.23,850,3
25.94,28,25.69,163,252,221,1.74,0.65,2,855,3
26,28,25.69,164,252,225,0.61,0.45,3.65,850,3
25.94,27.94,25.69,163,247,269,0.99,0.9,3.01,850,3
26,27.81,25.69,163,249,267,0.69,1.08,2.23,845,3
25.94,27.81,25.69,163,248,267,0.55,0.82,2.23,845,3
25.94,27.75,25.69,163,251,266,0.5,0.69,2.49,850,3
25.94,27.81,25.69,164,251,267,0.78,0.62,3.19,855,3
26,27.75,25.69,163,252,267,1.24,0.84,3.65,855,3
25.94,27.75,25.69,164,252,270,0.35,2.33,0.88,860,3
26,27.88,25.75,164,253,261,3.46,0.21,0.83,855,3
26,27.81,25.75,164,253,272,0.3,0.23,0.83,860,3
26,27.81,25.75,165,254,274,0.76,0.14,0.39,860,3
26,27.88,25.75,164,253,272,1.24,0.17,0.61,860,3
26,27.88,25.75,165,254,272,2.42,0.34,0.7,860,3
26,27.88,25.81,164,253,270,0.15,0.14,0.07,860,3
26,27.94,25.81,164,252,268,0.18,0.45,0.06,865,3
26,27.81,25.81,163,252,268,0.17,0.06,0.06,865,3
26,27.81,25.81,164,252,268,0.07,0.1,0.19,865,3
26,27.75,25.81,163,252,266,0.06,0.06,0.14,875,3
26,27.69,25.81,163,252,267,0.08,0.13,0.13,880,3
26,27.75,25.81,164,251,267,0.07,0.05,0.07,875,3
26,27.75,25.81,162,247,254,0.56,2.61,2.24,880,3
26,27.63,25.88,163,253,268,0.96,0.75,2.69,885,2
26,27.63,25.88,164,253,269,1.52,0.47,1.41,885,2
26,27.63,25.88,165,254,270,0.48,0.4,1.2,875,2
26.06,27.56,25.88,165,254,272,0.71,0.37,1.21,870,2
26.06,27.56,25.88,165,254,274,0.51,0.5,1.32,875,2
26,27.5,25.88,165,254,280,0.92,0.43,0.42,870,2
26,27.5,25.88,165,254,275,0.29,0.44,0.92,870,2
26,27.38,25.94,165,254,275,1.22,3.44,3.11,870,2
26.06,27.44,25.88,165,254,276,0.78,0.11,1.93,865,2
26.06,27.5,25.88,165,254,276,0.81,0.59,3.65,870,2
26.06,27.44,25.88,165,254,275,0.63,0.51,1.59,870,2
26,27.38,25.88,165,254,278,0.71,0.39,1.05,865,2
26.06,27.38,25.94,165,255,278,0.61,0.3,3,860,2
26.06,27.38,25.94,165,254,278,0.66,0.68,2.9,840,2
26.06,27.31,25.94,165,254,250,0.55,0.4,0.27,845,2
26.06,27.31,25.94,165,254,275,0.45,0.38,3.65,850,2
26.06,27.25,25.94,165,254,276,0.56,0.63,2.27,860,2
26.06,27.31,25.88,164,247,279,0.79,0.79,2.37,865,3
26.06,27.19,25.94,165,256,278,1.48,0.88,2.68,870,3
26.06,27.19,25.88,165,254,278,1.09,1.45,2.84,870,3
26.06,27.25,25.94,165,254,276,0.39,1.43,1.63,885,3
26.06,27.25,25.94,165,257,279,3.63,1.66,3.65,890,2
26.06,27.31,25.94,164,258,279,0.99,0.22,0.3,895,2
26.06,27.38,25.94,165,256,279,1.08,0.43,0.7,895,3
26.06,27.38,25.94,165,255,279,0.12,0.39,0.47,890,3
26.06,27.38,25.94,165,256,277,0.17,1.6,0.52,890,3
26.06,27.31,25.94,165,254,276,0.97,1.21,3.12,880,3
26.06,27.31,25.94,165,254,277,0.1,0.75,1.12,880,3
26.06,27.25,25.94,165,254,275,0.09,0.21,0.52,880,3
26.06,27.25,25.94,164,254,276,0.19,0.16,0.77,875,3
26.06,27.13,25.94,165,255,277,0.09,0.07,0.51,875,3
26.13,27.06,26,164,255,278,0.12,0.07,0.46,875,3
26.06,27.06,25.94,165,255,272,0.09,0.12,0.7,880,3
26.06,27,25.94,165,255,279,0.65,0.15,0.2,880,3
26.06,27.06,26,165,255,277,0.1,0.1,0.87,890,3
26.06,26.94,26,164,255,277,0.1,0.18,0.4,900,3
26.13,27.13,25.94,164,254,276,0.16,0.12,0.58,905,3
26.06,27.13,25.94,164,254,275,0.1,0.1,0.71,910,3
26.06,27.06,26,164,254,276,0.3,0.26,0.64,910,3
26.06,27,26,165,254,275,0.83,0.27,0.62,910,3
26.06,27,26,164,254,274,1.2,0.28,0.22,910,3
26.13,27.06,26,165,254,274,1.13,1.4,1.51,910,3
26.06,27.13,26,165,256,279,0.55,0.14,0.85,910,3
26.06,27.06,26,165,255,275,0.42,0.33,1.04,910,3
26.13,27.19,26,164,254,274,0.11,0.06,0.21,910,3
26.06,27.19,26,165,254,274,0.41,0.11,1.16,915,3
26.13,27.19,26,165,256,277,0.08,0.23,0.15,910,3
26.13,27.13,26.06,165,257,280,0.09,0.32,0.13,915,3
26.13,27.13,26,165,256,278,0.38,0.22,0.07,920,3
26.06,27.25,26,163,255,254,0.91,0.23,1.37,925,3
26.13,27.19,26,165,256,273,0.88,0.76,2.6,925,3
26.13,27.19,26.06,165,255,277,0.75,0.5,1.69,930,3
26.13,27.19,26.06,165,255,278,0.82,0.19,0.09,935,3
26.13,27.19,26,165,255,278,0.48,0.1,0.08,935,3
26.13,27.06,26.06,165,256,280,0.53,0.09,0.16,935,3
26.13,27.19,26.06,165,256,279,0.43,0.09,0.53,935,3
26.13,27.19,26,165,256,279,0.13,0.12,0.48,935,3
26.13,27.19,26,165,256,276,0.38,0.1,0.11,935,3
26.13,27.19,26,165,256,279,0.1,0.05,0.07,935,3
26.13,27.06,26,165,256,279,0.11,0.07,0.13,930,3
26.13,27.06,26,165,257,279,0.34,0.12,0.77,925,3
26.13,27.06,26,165,257,280,0.14,0.15,0.19,925,3
26.19,27.13,26.06,165,257,278,0.1,0.07,0.13,930,3
26.13,27.13,26,165,256,269,0.3,0.07,0.11,940,3
26.19,27.06,26,165,256,280,0.08,0.07,0.22,940,3
26.13,27.13,26.06,165,255,275,0.09,0.1,0.15,945,3
26.13,27.19,26,165,255,277,0.36,0.12,0.21,945,3
26.19,27.13,26,165,255,277,0.08,0.1,0.27,955,3
26.13,27.06,26.06,165,255,278,0.22,0.09,0.14,960,3
26.19,27.19,26.06,165,255,280,0.09,0.43,0.18,965,3
26.19,27.31,26,165,255,278,0.83,0.36,0.21,960,3
26.19,27.25,26,164,254,269,1.52,0.36,1.11,965,3
26.19,27.19,26.06,163,254,268,0.61,0.41,3.67,970,3
26.19,27.25,26.06,164,254,273,0.72,0.59,1.7,965,3
26.19,27.25,26.06,163,252,272,0.12,0.35,0.2,970,3
26.19,27.19,26.06,163,254,274,0.09,0.13,0.17,975,3
26.19,27.25,26.06,164,252,273,0.09,0.08,0.06,970,3
26.19,27.25,26.06,163,253,272,0.17,0.08,0.13,965,3
26.19,27.19,26.06,164,251,273,1.25,0.51,0.12,960,3
26.19,27.25,26.06,163,251,272,0.16,0.14,0.33,955,3
26.19,27.31,26.06,164,251,271,0.1,0.14,0.3,960,3
26.19,27.31,26.06,164,251,269,0.79,0.31,0.28,965,3
26.19,27.31,26.06,164,253,268,0.18,0.16,0.68,965,3
26.19,27.31,26.13,163,253,267,0.13,0.13,0.2,965,3
26.19,27.25,26.13,163,252,266,1.14,0.79,2.74,965,3
26.19,27.38,26.13,162,249,265,1.56,1.62,3.4,960,3
26.19,27.31,26.13,161,251,266,0.77,0.94,2.83,955,3
26.19,27.25,26.13,158,249,266,0.69,0.29,0.62,950,3
26.19,27.31,26.13,160,247,218,0.9,1.02,2.62,950,3
26.19,27.25,26.13,19,22,97,0.42,3.03,3.67,950,0
26.19,27.06,26.13,19,22,98,2.32,2.08,1.64,960,0
26.19,26.94,26.13,19,22,97,0.19,0.18,0.32,970,0
26.19,26.88,26.06,19,22,98,0.1,0.11,0.11,965,0
26.19,26.88,26.06,20,24,101,0.07,0.05,0.06,970,0
26.13,26.81,26.13,19,23,101,0.08,0.05,0.06,970,0
26.19,26.81,26.06,19,23,100,0.07,0.05,0.09,970,0
26.19,26.81,26.06,19,23,99,0.08,0.05,0.06,970,0
26.19,26.75,26.06,19,22,98,0.07,0.05,0.06,970,0
26.19,26.75,26.06,18,22,96,0.07,0.05,0.06,965,0
26.19,26.69,26.06,18,22,97,0.07,0.05,0.07,970,0
26.19,26.63,26.06,18,22,96,0.07,0.05,0.06,965,0
26.13,26.63,26.06,18,22,96,0.08,0.05,0.05,960,0
26.13,26.56,26.06,18,22,95,0.07,0.05,0.06,965,0
26.13,26.56,26,19,22,98,0.09,0.09,0.1,965,0
26.13,26.56,26,19,23,99,0.1,0.08,0.07,965,0
26.06,26.56,26,19,23,100,0.06,0.05,0.11,975,0
26.13,26.56,26,19,23,101,0.07,0.05,0.07,975,0
26.06,26.56,26,19,23,100,0.07,0.05,0.06,975,0
26.13,26.56,26,19,23,100,0.08,0.04,0.06,970,0
26.13,26.5,26,19,22,98,0.09,0.07,0.09,965,0
26.13,26.5,26,19,22,98,0.1,0.05,0.06,960,0
26.06,26.5,26,19,23,99,0.07,0.1,0.2,960,0
26.13,26.44,26,19,23,99,0.07,0.05,0.06,955,0
26.06,26.44,26,19,23,99,0.13,0.05,0.07,945,0
26.06,26.44,26,18,22,99,0.07,0.14,0.21,945,0
26.06,26.44,25.94,18,22,97,0.56,0.41,0.71,950,0
26.06,26.44,25.94,18,22,98,0.07,0.11,0.16,950,0
26.06,26.5,25.94,18,22,96,0.07,0.05,0.06,940,0
26.06,26.44,25.94,18,22,96,0.07,0.05,0.07,930,0
26.06,26.44,25.94,18,22,95,0.08,0.05,0.06,920,0
26.06,26.38,25.94,18,22,96,0.07,0.05,0.06,910,0
26.06,26.38,25.94,18,22,98,0.07,0.05,0.07,900,0
26.06,26.38,25.88,19,23,99,0.08,0.04,0.06,890,0
26.06,26.38,25.88,19,23,99,0.09,0.11,0.1,880,0
26.06,26.38,25.88,19,23,99,0.08,0.11,0.1,870,0
26.06,26.38,25.88,19,23,99,0.07,0.1,0.09,865,0
26.06,26.38,25.88,18,23,99,0.07,0.07,0.07,855,0
26.06,26.31,25.88,18,22,98,0.07,0.05,0.06,850,0
26.06,26.31,25.88,18,22,97,0.07,0.05,0.05,845,0
26.06,26.31,25.88,18,22,96,0.1,0.12,0.11,850,0
26.06,26.31,25.88,17,21,94,0.08,0.05,0.06,845,0
26,26.31,25.88,17,21,93,0.07,0.05,0.06,840,0
26,26.25,25.88,17,21,92,0.07,0.05,0.06,840,0
26,26.25,25.88,17,20,92,0.06,0.05,0.05,835,0
26.06,26.25,25.88,17,20,92,0.07,0.05,0.07,835,0
26,26.25,25.88,18,22,95,0.07,0.05,0.06,835,0
26,26.25,25.88,17,21,95,0.08,0.05,0.06,835,0
26,26.25,25.88,17,21,94,0.07,0.05,0.07,830,0
26,26.19,25.88,17,21,93,0.08,0.05,0.07,830,0
26,26.19,25.81,17,21,95,0.07,0.05,0.06,830,0
26,26.25,25.88,17,21,94,0.07,0.05,0.06,830,0
26,26.19,25.81,17,21,93,0.07,0.04,0.07,830,0
26,26.13,25.81,17,21,94,0.08,0.07,0.06,820,0
26,26.19,25.88,17,21,95,0.07,0.05,0.08,820,0
26,26.19,25.88,17,21,95,0.07,0.05,0.06,815,0
26,26.19,25.88,17,21,93,0.07,0.05,0.07,815,0
26,26.19,25.88,17,21,93,0.06,0.05,0.07,815,0
26,26.13,25.81,17,21,93,0.07,0.07,0.06,805,0
26,26.19,25.81,17,21,94,0.06,0.05,0.07,805,0
26,26.19,25.81,16,21,93,0.07,0.05,0.06,800,0
25.94,26.13,25.81,17,21,93,0.08,0.06,0.09,795,0
26,26.13,25.88,17,21,94,0.06,0.08,0.1,785,0
25.94,26.13,25.88,17,21,94,0.08,0.07,0.07,775,0
26,26.13,25.81,17,21,95,0.08,0.05,0.07,770,0
26,26.13,25.81,16,21,93,0.08,0.05,0.07,770,0
26,26.13,25.81,16,21,94,0.06,0.05,0.07,765,0
25.94,26.13,25.81,16,20,94,0.07,0.04,0.07,760,0
26,26.13,25.81,16,20,93,0.08,0.05,0.06,760,0
